Team,Prediction,O_Rank,D_rank,Prediction_Rank
New Orleans Saints,0.3327286364279791,4,8,1.0
Buffalo Bills,0.33213482760619456,6,14,2.0
Kansas City Chiefs,0.32701629339957217,2,6,3.0
Green Bay Packers,0.31000386072842245,1,16,4.0
Indianapolis Colts,0.30993924819275387,9,13,5.0
Los Angeles Rams,0.3045586975607479,19,3,6.0
Seattle Seahawks,0.29712094846105086,7,12,7.0
Tampa Bay Buccaneers,0.29622258755405806,5,7,8.0
Miami Dolphins,0.2907303314522926,15,1,9.0
Baltimore Ravens,0.28601494233006913,8,4,10.0
Pittsburgh Steelers,0.28374144599477974,12,2,11.0
Arizona Cardinals,0.28010279298128615,10,15,12.0
Tennessee Titans,0.27979467663046864,3,23,13.0
Las Vegas Raiders,0.26999920235210806,11,29,14.0
Cleveland Browns,0.269047439435198,14,21,15.0
New England Patriots,0.2672100873009487,28,11,16.0
Washington Football Team,0.2670139437616801,26,5,17.0
Carolina Panthers,0.26423305741649294,23,18,18.0
Los Angeles Chargers,0.26421283672060464,22,24,19.0
Minnesota Vikings,0.2625058339201493,13,28,20.0
Atlanta Falcons,0.26174733034283143,17,19,21.0
Chicago Bears,0.2598264627610499,18,9,22.0
San Francisco 49ers,0.2567038230460543,20,17,23.0
Dallas Cowboys,0.24730688363003112,16,30,24.0
New York Giants,0.24410962447513868,31,10,25.0
Houston Texans,0.24180580597936727,21,26,26.0
Cincinnati Bengals,0.2270290180665178,27,20,27.0
Detroit Lions,0.2179111052910907,24,32,28.0
Jacksonville Jaguars,0.20335546677135533,29,31,29.0
Denver Broncos,0.19695726040607456,30,25,30.0
New York Jets,0.19404798333277767,32,27,31.0
Philadelphia Eagles,0.18042987123767815,25,22,32.0
